time [h],exp.0 biomass conc. at 22 °C,exp.1 biomass conc. at 24 °C,exp.2 biomass conc. at 26 °C,exp.3 biomass conc. at 28 °C,exp.4 biomass conc. at 30 °C,exp.5 biomass conc. at 32 °C,exp.6 biomass conc. at 34 °C,exp.7 biomass conc. at 36 °C,exp.8 biomass conc. at 38 °C
0.0,0.09452623253786069,0.09303014029377092,0.09355652517560166,0.08507289103202079,0.10833085948945785,0.09423183090647905,0.11256359026603271,0.09645300194482233,0.10171630912686862
1.0,0.2021630384851537,0.22926007873050772,0.23369814657224408,0.23000998760976432,0.20433833310126256,0.11081564837538045,0.11372281077403626,0.10252406933951676,0.07862511122354394
2.0,0.431788252994433,0.5670772891473944,0.7811567917060814,0.6996143144220011,0.4047710704212578,0.10822327835076591,0.19064024206165292,0.12300115936733323,0.11716557593863625
3.0,0.7650755819205624,1.7695669933290965,1.9038684860848303,1.2682151491377098,0.6836492527385513,0.08861577821785999,0.23232097097874957,0.12904794802367606,0.11627302507159339
4.0,1.700030490344213,3.452201623943662,5.0646742278018655,3.4736619742768617,1.7700941129833612,0.10010771279796547,0.32154235936240666,0.19472815444049252,0.11726215324868709
5.0,3.6196705454622737,8.983688068926698,12.502052813190769,7.0273949793761785,3.6002904916456586,0.08154213460749482,0.4463415755302589,0.20243967948175282,0.13958795038360178
6.0,7.622549145694685,18.571068952557333,23.081604549269848,15.923312593221562,8.914157455167294,0.11605868747947083,0.4751748802614181,0.23318187151695566,0.1525265839310529
7.0,13.12823091448021,26.44484278464417,35.184449527418565,36.83428683146677,12.364955864021043,0.10234460704540391,0.6615238235442047,0.20240935459604986,0.14880871112132352
8.0,21.34207484088754,42.20996769120763,54.9628188596722,47.7006992465054,20.461327286699166,0.10308243194736015,0.9505337054563131,0.30744059077790664,0.1400920828192255
9.0,26.844151136413764,59.113243590516525,51.259572255486916,46.51988040220303,36.319462739902164,0.09695449378978344,1.1244525514045085,0.31309417189529126,0.13187193401610178
10.0,42.00977635860004,63.13161560008365,57.131759841180056,67.44242729390339,43.40779827106757,0.0952822734076471,1.5505051946413562,0.3854102962475672,0.16305196179973677
11.0,53.213679840625645,59.4697449839453,61.21710804411309,70.53769479781064,58.36754734439384,0.09375203961812405,1.8936991098727478,0.46221662654208046,0.17726687976058098
12.0,59.71565263416626,70.39190482014432,68.35442875779812,55.06778557570803,58.976190358408914,0.09856026831572501,2.941778517177829,0.6302458271655722,0.17102210209118512
13.0,55.28901724309651,68.47870252634011,65.24853974863018,62.77007503035394,66.77730986713483,0.1111191545129574,3.786483626455065,0.4659344795433218,0.14910026889124353
14.0,58.207906220279064,52.36073175290829,66.55828612096595,69.56723702693871,61.28256890316952,0.08764547320842705,3.960705724925943,0.5573771336723398,0.19366933328406213
15.0,55.527896954106446,77.02284903572263,50.54608974675916,72.49548628606901,56.65128449437776,0.09730057194869632,5.741661556655935,0.765441424820726,0.2261595591952915
16.0,60.42617087672498,72.69664827093317,70.75724212409958,72.58279348364246,55.10996332339026,0.09957384329274326,6.833861593980952,0.8901867300647398,0.18909449017506544
17.0,65.14965026590612,66.52461737745975,58.85386728512633,70.1068717670849,63.369119065050576,0.10750158004426144,10.19215524094993,1.0818698559589264,0.2445988226697794
18.0,58.81645829967056,64.56432571234869,57.444442913275765,68.04778452928096,52.971049201542385,0.10844343867820307,10.376800485306315,0.8912529408518439,0.29547527758688324
19.0,63.455028001749675,68.47337360954522,52.309902298289494,69.1975968756938,57.74892957410049,0.10463336075464998,15.806568163222963,1.3591636168928172,0.3283554983139161
20.0,51.83862185637782,55.43603734623019,55.66050580923679,73.5268052325471,70.81979380980972,0.09500425269125053,18.466994868545136,1.5185117595602922,0.275352753102605
21.0,62.63331178268989,64.62374727592342,65.04551070727793,62.75126695503903,67.26715161975156,0.09242655532620382,22.21601053292132,1.9290741188158171,0.3079929171902966
22.0,57.404778063780554,55.01183729059515,71.42078918709095,78.67669314126229,64.42089554628835,0.09806918015011305,26.21741840820796,1.814576981327059,0.3434127410695737
23.0,60.464483509913805,63.42598125148394,71.65070850395115,51.674568603123696,54.532642902960426,0.10177452235314927,29.86887675312597,2.566234198194678,0.35035728215367734
24.0,60.38633527805332,59.710693924123106,73.88380027377758,64.08701681037698,61.90639338663645,0.08905382887536749,35.223145190322874,2.7237088847392075,0.34668081198335776
25.0,57.69068967103862,66.26556726112312,54.89680851803229,59.08882166075341,59.34068588299403,0.0967368885824677,43.54898087199659,2.8134901154642042,0.36881878833836385
26.0,51.090250683575,51.725448406224686,74.15793361741461,55.25747605337693,70.01608997359992,0.10026975757095205,40.830357942141916,2.7560178547454477,0.42534689080011995
27.0,67.88805172729074,64.68706339938791,74.78995181669228,62.221282528141636,66.91742859893347,0.0893384527489983,50.35598672077311,3.4880412986048626,0.47651333764272485
28.0,63.34122944332987,64.08430411760303,60.48348429237185,61.00723278592163,56.83730697604293,0.10599788834684135,59.92390350359693,4.028230001314413,0.47766896033085315
29.0,60.02204805968129,60.8474780546884,68.14563808537874,64.15131022927241,70.37245339836173,0.09633026536303475,49.628308516512355,2.9931442946960862,0.5151105816766156
30.0,58.735232678286266,65.79994796079707,74.92018948657415,67.14264583579764,72.37541987314049,0.09885613397714367,57.12552777792314,5.784813310719772,0.5946982501255619
31.0,64.92240730325841,66.99301441629642,54.0452909056472,61.74198829472092,60.66046451571593,0.10353871088225915,67.8457827567261,5.997935791607941,0.5824293087570332
32.0,53.187500728338264,57.044794228162736,76.77885594888949,59.92612854572686,59.38366382120012,0.10533760656959082,60.370337244533836,7.804215672347391,0.6167591576720433
33.0,62.043494458934326,60.899992671893436,57.19624181143056,54.50512168155331,56.01245729024039,0.10075820397193469,61.175424760679284,5.592323716720932,0.707272725631772
34.0,63.05809328676536,62.174994228359225,51.71506187262446,59.20844220836281,51.04317379411232,0.09347053063931053,64.89749941864787,8.564043656442403,0.6067363061271749
35.0,61.10726258269311,59.083493009587876,63.037966911671646,59.677530967660374,58.730881769150855,0.1004665041927425,55.87085377083575,9.146664997247866,0.7501234215510355
36.0,54.45710749351356,61.27330248473996,66.78089659389259,46.35967219656628,59.96129445612466,0.10555242417192984,63.745722073943384,10.17112398417984,0.7098462921051549
37.0,60.64570935201953,62.34173751797729,66.61061757571007,62.833269691599256,69.48168336540787,0.09485739294938265,56.865030952381304,14.412063439949682,0.7673230713957881
38.0,62.73942506552544,62.37539878056908,68.40766474444442,61.850214278008806,63.948643330869366,0.09864244839521054,61.15780939535109,14.261303057696594,0.7482983557218349
39.0,72.2704092435896,59.151278795498065,70.53707327163268,63.74635633807074,64.26190538463902,0.10616818871718858,60.49009799452556,13.316676571072009,0.8976971365489752
40.0,51.9936431505494,68.85346604943916,68.95381404808748,54.12865039934654,63.91191783022367,0.10659008275363412,51.07338060414924,18.824859653532386,0.852980133806387
41.0,59.60964578342329,67.93674055491653,70.37748976531488,60.56966399700383,62.85992386812339,0.09518521950916538,75.63457411343616,17.337494771738548,1.1072707550187835
42.0,59.111477756334665,63.66461105949305,62.46935219501111,71.91401252443603,68.50229374321465,0.09719821494853687,57.62676518052521,21.236914394900452,1.0286283500013482
43.0,59.30039825403312,68.20823608342808,68.08655575193343,69.06060357335373,49.52048834534786,0.08059078861448335,70.43125729515369,24.580771405777668,1.1595448400310624
44.0,68.88275379578647,60.45967598765829,57.85840783853696,64.4778108793155,58.43844206970837,0.0986234354678229,62.946898734882055,21.729157251766427,1.0462549143767534
45.0,66.89304297562745,58.60891929746242,59.596778565021914,51.04169649254821,74.8447337235902,0.10190823393161268,64.6781495796725,28.687771628772804,1.5501042158763254
46.0,54.73976173788381,53.10974873416174,58.93802397230222,58.610599862261154,52.4124091331711,0.09801707851106142,51.31023976359795,33.50667801313408,1.1706470386906505
47.0,71.0460129558185,52.87394315131698,71.65926486718632,55.00458863027772,62.53217816977346,0.08290801966926378,61.67925288785599,28.319851281846216,1.2191443517204186
